date,sourceType,lunchGuests,dinnerGuests,dineInSales,cashSale,cashTip,cashCatering,checksReceived,totalCashWithTip,creditCardSale,creditCardTip,totalSettle,systemGross,giftCard,totalInHouse,restaurantOnline,grubhub,doordash,uberEats,totalRestaurantOnline,totalRestaurantSales,chequesCatering,totalCatering,totalSalesDay,cateringNotes,needsReview,notes
2025-07-01,Manual,76,101,177,336.75,164.25,0,0,501.0,4921.82,399.84,5321.66,4741.96,50.0,4691.96,954.35,73.0,129.0,34.0,1190.35,5882.31,0,0,5882.31,[],No,
2025-07-02,Manual,36,103,139,513.45,121.55,0,0,635.0,4407.44,459.62,4867.06,4319.07,0,4319.07,668.76,107.0,256.0,79.0,1110.76,5429.83,0,0,5429.83,"[{""cateringDate"": ""2025-07-02"", ""name"": ""Angie - Deatwish Coffee"", ""paymentType"": ""Visa"", ""amount"": 573.4}]",No,"Catering log: Angie - Deatwish Coffee, paid via Visa, $573.40 (already included in card total, not a separate catering charge)."
2025-07-03,Manual,80,49,129,525.83,108.17,0,0,634.0,2539.88,257.74,2797.62,2757.84,0,2757.84,638.16,68.0,177.0,143.0,1026.16,3784.0,0,0,3784.0,[],No,
2025-07-04,Manual,77,134,211,271.63,55.37,1795.0,0,327.0,4773.77,337.25,5111.02,4406.82,0,4406.82,547.78,102.0,127.0,78.0,854.78,5261.6,0,1795.0,7056.6,[],No,"Independence Day. Catering: 4 orders - Gilber $825, Suvir $460, Soniya $360, Mittal $150 = $1,795."
2025-07-05,Manual,96,147,243,275.96,142.04,0,0,418.0,7361.42,760.88,8122.3,6625.22,0,6625.22,587.24,90.0,260.0,82.0,1019.24,7644.46,2200.0,2200.0,9844.46,"[{""cateringDate"": ""2025-07-05"", ""name"": ""Suresh"", ""paymentType"": ""Credit Card"", ""amount"": 181.9}]",Yes,"Dinner Guests handwriting ambiguous (read as 147; could be 146) - doesn't affect financial totals. $2,200 check (Capital Region Gastroenterology / Dr. Arabind Kumar) recorded as a cheque catering payment per the form's own relabeling of that line. Catering log: Suresh, CC, $181.90."
2025-07-06,Manual,150,104,254,458.78,161.22,0,0,620.0,6774.92,539.34,7314.26,6210.2,0,6210.2,1361.37,104.0,362.0,176.0,2003.37,8213.57,0,0,8213.57,[],No,Form note: 'No BD this week'.
2025-07-08,Manual,63,115,178,475.8,146.2,0,0,622.0,4242.48,448.4,4690.88,4137.14,88.81,4048.33,832.28,282.0,206.0,0,1320.28,5368.61,0,0,5368.61,[],No,
2025-07-09,Manual,37,90,127,590.27,121.73,0,0,712.0,3014.08,380.52,3394.6,3215.03,50.0,3165.03,1041.44,0,161.0,99.0,1301.44,4466.47,0,0,4466.47,[],No,
2025-07-10,Manual,66,72,138,742.28,157.72,0,0,900.0,3079.07,321.28,3400.35,3432.4,31.68,3400.72,691.82,144.0,498.0,30.0,1363.82,4764.54,0,0,4764.54,[],No,
2025-07-11,Manual,65,139,204,348.72,110.28,350.0,0,459.0,5451.99,582.91,6034.9,5072.77,0,5072.77,1342.02,38.0,285.0,247.0,1912.02,6984.79,0,350.0,7334.79,[],No,
2025-07-12,Manual,90,162,252,483.43,123.57,2350.0,0,607.0,7118.02,703.28,7821.3,6549.45,0,6549.45,1063.81,56.0,628.0,33.0,1780.81,8330.26,0,2350.0,10680.26,[],No,"Catering: 2 orders per note - Fredus $2,200, Lakshmi $150."
2025-07-13,Manual,115,66,181,289.47,74.53,3300.0,0,364.0,4506.24,472.42,4978.66,4233.28,0,4233.28,1456.34,48.0,35.0,130.0,1669.34,5902.62,290.0,3590.0,9492.62,[],No,"Catering (Jamsheed): $3,300 cash + $290 check = $3,590 total."
2025-07-15,Manual,51,92,143,401.81,110.19,0,0,512.0,3476.78,437.89,3914.67,3401.7,0,3401.7,548.53,43.0,229.0,0,820.53,4222.23,0,0,4222.23,[],No,Total C Card Sale cents digit (78) had some ambiguity but doesn't affect any cross-checked total.
2025-07-16,Manual,70,112,182,218.0,38.0,0,0,256.0,5453.82,839.88,6293.7,4584.21,0,4584.21,600.82,21.0,125.0,203.0,949.82,5534.03,0,0,5534.03,[],No,
2025-07-17,Manual,50,73,,395.02,95.98,0,0,491,3078.53,406.92,3485.45,3032.23,0,3032.23,459.25,25,295,39,818.25,3850.48,0,0,3850.48,[],Yes,"Dine-in $ left blank: original form showed 123, which equals Lunch+Dinner guest count, not a dollar figure - likely a form-filling habit on this report style. Old format doesn't separate 'Checks Received' from 'Cheques Catering'; assumed general checks, set catering portion to 0."
2025-07-18,Manual,76,148,224,201.72,71.28,0,0,273.0,5346.96,698.11,6045.07,4754.15,0,4754.15,1132.25,0,600.0,61.0,1793.25,6547.4,0,0,6547.4,[],No,
2025-07-19,Manual,73,124,197,400.13,190.87,0,0,591.0,6143.92,794.32,6938.24,6544.05,110.0,6434.05,796.22,171.0,216.0,193.0,1376.22,7810.27,0,0,7810.05,"[{""cateringDate"": ""2025-07-19"", ""name"": ""Anniya Kowalic"", ""paymentType"": ""Credit Card"", ""amount"": 208.65}, {""cateringDate"": ""2025-07-19"", ""name"": ""Jyothi"", ""paymentType"": ""Credit Card"", ""amount"": 438.7}, {""cateringDate"": ""2025-07-19"", ""name"": ""Taufinia"", ""paymentType"": ""Credit Card"", ""amount"": 429.07}]",Yes,"Computed Total Restaurant Sales (7810.27) is 22 cents off the form's printed Total Sales of the Day (7810.05) - likely one misread cents digit in the online-platform amounts; too small to matter but flagged for awareness. Catering log names partly illegible: 'Anniya Kowalic' $208.65, 'Jyothi' $438.70, 'Taufinia' $429.07 (all CC, spelling uncertain)."
2025-07-20,Manual,102,121,223,507.33,149.67,415.0,0,657.0,5264.94,773.42,6038.36,5772.27,52.43,5719.84,427.76,0,287.0,139.0,853.76,6573.6,0,415.0,6988.6,"[{""cateringDate"": ""2025-07-20"", ""name"": ""Shazia"", ""paymentType"": ""Credit Card"", ""amount"": 321.0}]",No,"Cash catering marked 'BB'. Catering log: Shazia, CC, $321.00."
2025-07-22,Manual,70,44,114,298.38,36.62,0,0,335.0,2152.57,456.67,2609.24,2450.95,0,2450.95,1097.01,0,536.0,63.0,1696.01,4146.96,0,0,4146.96,[],Yes,"Several form fields were left blank that day (System Gross Sale, Total Restaurant Sales, Grand Total Cash & Check). Reconstructed from the printed Total Sale In House ($2,450.95) and Total Sales of the Day ($4,146.96), which are internally consistent with the online-platform breakdown - high confidence, but the source form itself has gaps."
2025-07-23,Manual,45,65,110,400.19,136.81,0,0,537.0,2552.44,303.99,2856.43,2691.04,75.0,2616.04,546.95,0,118.0,53.0,717.95,3333.99,0,0,3333.99,[],No,
2025-07-24,Manual,42,92,134,224.34,82.66,0,0,307.0,3780.59,480.88,4261.47,3438.05,0,3438.05,523.42,0,105.0,91.0,719.42,4157.47,0,0,4157.47,[],No,
2025-07-25,Manual,87,95,182,397.89,63.11,65.0,0,461.0,4955.28,632.19,5587.47,4600.71,0,4600.71,1072.14,0,888.0,402.0,2362.14,6962.85,0,65.0,7027.85,"[{""cateringDate"": ""2025-07-25"", ""name"": ""Srikanth"", ""paymentType"": ""Credit Card"", ""amount"": 56.18}]",No,"Catering note: Archita, $65. Catering log: Srikanth, CC, $56.18."
2025-07-26,Manual,90,98,188,212.53,90.47,270.0,0,303.0,6049.84,610.77,6660.61,5465.05,0,5465.05,1001.92,124.0,353.0,54.0,1532.92,6997.97,0,270.0,7267.97,"[{""cateringDate"": ""2025-07-26"", ""name"": ""Raj Patel (Subway)"", ""paymentType"": ""Credit Card"", ""amount"": 839.95}]",No,"Catering: Tina $150, Pradeep $120 = $270. Catering log: Raj Patel (Subway), CC, $839.95."
2025-07-27,Manual,126,56,182,274.54,91.46,825.0,0,366.0,4933.17,540.12,5473.29,4518.25,0,4518.25,1123.66,0,197.0,164.0,1484.66,6002.91,464.0,1289.0,7291.91,[],No,"Catering: Anju $450 + Amee $375 = $825 cash, plus $464 check = $1,289 total."
2025-07-29,Manual,50,132,182,434.72,75.28,0,0,510.0,3372.83,340.51,3713.34,3340.49,0,3340.49,692.98,195.0,303.0,182.0,1372.98,4713.47,0,0,4713.47,"[{""cateringDate"": ""2025-08-03"", ""name"": ""Ram"", ""paymentType"": ""Credit Card"", ""amount"": 101.65}]",No,"Catering log entry (Ram, $101.65) is a future booking dated 08-03-25, not part of this day's totals."
2025-07-30,Manual,60,44,104,555.93,72.47,0,0,628.0,1892.32,260.75,2153.07,2161.2,0,2161.2,588.35,15.0,272.0,63.0,938.35,3099.55,0,0,3099.55,[],Yes,"Cash Sale ($555.93) + Cash Tip ($72.47) = $628.40, but form prints Total Cash w/Tip as $628.00 - $0.40 handwriting discrepancy. Doesn't affect the day's grand total (verified independently via In-House + Online formula)."
2025-07-31,Manual,54,85,139,425.66,100.34,0,0,526.0,3521.96,426.63,3948.59,3415.79,0,3415.79,257.55,67.0,201.0,133.0,658.55,4074.34,0,0,4074.34,[],No,
2026-07-17,System,58,99,4233.6,197.85,63.15,0,0,261,4468.96,860.32,5329.28,4666.81,50,4616.81,1080.64,58,118,90,1346.64,5963.45,0,0,5963.45,[],No,New system report does not break out per-platform order counts.
